Running for 1000.0 seconds (1000 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    dram  pkg-0   dram  pkg-1
17:39:10  19.2   0.0   1.5  79.4   0.0   10   2430   5210  152   24  117  86.11    7.65  27.15   3.40  58.97
17:39:11  18.6   0.0   2.3  79.1   0.0    8  11602  10568  126   17  137  86.21    7.71  27.27   3.40  58.94
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    dram  pkg-0   dram  pkg-1
17:39:12  16.9   0.0   1.1  81.9   0.0    8   5011   5820  171    3   87  82.12    6.66  27.29   3.40  54.83
17:39:13  16.9   0.0   1.0  82.2   0.0    9   1587   4635   75    3   75  81.57    6.64  26.66   3.39  54.91
17:39:14  16.3   0.0   1.5  82.2   0.0    8   2148   4460  123    3   27  81.47    6.89  26.92   3.40  54.55
17:39:15  17.1   0.0   5.7  77.2   0.0   19 1481674   5235   93   24   69  86.44    6.40  27.36   3.40  59.07
17:39:16  14.7   0.0   2.0  83.3   0.0    7 206525   9464  140   17  117  78.07    6.16  26.80   3.40  51.26
17:39:17  14.7   0.0   1.2  84.2   0.0    7   5668   5953  124    3   75  78.24    6.46  27.27   3.40  50.97
17:39:18  13.8   0.0   1.8  84.4   0.0    7   1954   4318   63    3   63  77.56    6.57  27.13   3.39  50.44
17:39:19  13.9   0.0   1.3  84.8   0.0    7   1890   4190  133    4   64  76.85    6.70  26.41   3.38  50.45
17:39:20  14.1   0.0   7.0  78.9   0.0    6 2005721   4922   48   24   69  82.96    5.93  27.40   3.40  55.56
17:39:21   9.5   0.0   1.8  88.7   0.0    5  10656   8621   66   17   57  70.16    5.96  27.25   3.40  42.91
17:39:22   8.8   0.0   1.6  89.6   0.0    5   2721   4029  108    3   48  69.27    5.79  26.75   3.39  42.52
17:39:23   8.5   0.0   2.2  89.3   0.0    6   1710   3787   51    3   27  70.26    6.26  27.18   3.40  43.08
17:39:24   9.1   0.0   1.0  89.9   0.0    5   1767   4197   99    3   96  69.08    5.66  26.39   3.38  42.69
17:39:25   9.3   0.0   1.7  89.0   0.0    5   2346   4362  138   24   90  70.07    5.69  27.40   3.41  42.67
17:39:26   6.7   0.0   1.6  91.7   0.0    3  10727   8321   78   17   45  65.82    5.17  27.65   3.41  38.16
17:39:27   4.3   0.0   1.1  94.7   0.0    3   5172   4997   39    3   63  62.64    5.10  26.59   3.38  36.05
17:39:28   7.1   0.0   8.1  84.7   0.0    3 352351   3736    3    3    3  73.96    4.38  27.11   3.38  46.85
17:39:29   7.6   0.0   9.6  82.8   0.0   14 512962   3835    3    3    3  75.71    4.43  26.67   3.38  49.04
17:39:30   8.0   0.0  10.2  81.8   0.0   14 695469   4381   48   24   45  77.37    4.36  26.86   3.39  50.51
17:39:31   9.2   0.0  11.5  79.3   0.0    4 898369   9243   54   17   33  80.12    4.39  27.64   3.40  52.47
17:39:32   7.8   0.0   7.2  85.1   0.0    3 608429   4625   40    4   16  73.39    4.40  26.34   3.38  47.06
17:39:33   6.5   0.0   7.6  85.9   0.0    2 606167   3656   27    3   27  71.96    4.35  27.10   3.39  44.87
17:39:34   2.4   0.0   0.8  96.8   0.0    4   1425   2304    3    3   15  57.73    4.08  27.02   3.40  30.71
17:39:35   2.1   0.0   0.8  97.1   0.0    2   1528   2655   72   24   45  57.18    4.28  26.51   3.39  30.67
17:39:36   2.7   0.0   1.5  95.8   0.0    2  10440   7718   42   17   33  58.60    4.38  27.59   3.41  31.01
17:39:37   2.3   0.0   0.8  96.9   0.0    3   2179   2518    3    3    3  57.72    4.03  26.85   3.40  30.86
17:39:38   1.9   0.0   1.0  97.2   0.0    2   1393   2149   14    2    1  57.12    4.22  26.45   3.39  30.67
17:39:39   2.3   0.0   0.7  97.0   0.0    2   1368   1993    1    1   26  57.77    4.02  26.94   3.39  30.82
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    dram  pkg-0   dram  pkg-1
17:39:40   2.6   0.0   0.2  97.3   0.0    3    836   1967    3    3    3  57.21    3.91  26.24   3.38  30.98
17:39:41   2.7   0.0   1.2  96.1   0.0    2  10332   6942   15    3    3  58.51    4.31  27.30   3.41  31.21
17:39:42   2.2   0.0   1.1  96.8   0.0    2   2761   2697   15    3    3  57.82    4.34  27.08   3.39  30.74
17:39:43   2.0   0.0   0.7  97.3   0.0    2   1217   2292   39    3   27  56.96    4.28  26.26   3.38  30.70
17:39:44   2.5   0.0   0.6  96.9   0.0    2   1371   2108    3    3    3  58.06    4.03  27.03   3.39  31.03
17:39:45   2.1   0.0   1.0  96.9   0.0    2   1264   2341   15    3   15  57.65    4.25  27.03   3.39  30.63
17:39:46   2.3   0.0   1.0  96.7   0.0    2   9603   6582   15    3    3  57.45    4.21  26.55   3.39  30.90
17:39:47   2.0   0.0   1.3  96.7   0.0    2   4479   3364   15    3    3  57.75    4.29  27.15   3.40  30.60
17:39:48   2.6   0.0   0.2  97.1   0.0    3   1294   2629   63    3   51  56.95    4.07  26.46   3.39  30.49
17:39:49   2.2   0.0   0.8  97.0   0.0    2   1759   1893    3    3    3  57.67    4.30  26.84   3.39  30.84
17:39:50   2.5   0.0   0.7  96.8   0.0    2   1375   2503   27    3   27  57.70    4.12  27.08   3.40  30.62
17:39:51   2.1   0.0   1.1  96.7   0.0    2  10517   7128   15    3    3  57.31    4.36  26.62   3.40  30.70
17:39:52   3.1   0.0   5.2  91.7   0.0    2 188975   3331    3    3    3  63.55    4.38  27.10   3.41  36.45
