mango2, /home/hong/slowfast
config files: ['configs/contrastive_ssl/custom_BYOL_SlowR50_8x8.yaml']
num gpus: 1
[03/29 20:39:37][INFO] memchecker.py:   95: MemCheck
[03/29 20:39:37][INFO] kinetics.py:  117: Constructing Kinetics train...
--------------->>>>>
/home/hong/slowfast/index_files/train.csv
[03/29 20:39:37][INFO] kinetics.py:  174: Constructing kinetics dataloader (size: 1998 skip_rows 0) from /home/hong/slowfast/index_files/train.csv 
[03/29 20:39:37][INFO] kinetics.py:  193: init workers
init done
[03/29 20:39:37][INFO] memchecker.py:  102: Memory check model for 1998 iterations
iter154, time differene: 0.005906581878662109
iter155, time differene: 0.0005438327789306641
iter156, time differene: 0.0038590431213378906
iter157, time differene: 0.0005118846893310547
iter158, time differene: 0.021709442138671875
iter159, time differene: 0.0005443096160888672
iter160, time differene: 0.00385284423828125
iter161, time differene: 0.00324249267578125
iter162, time differene: 0.0006935596466064453
iter163, time differene: 0.00046443939208984375
iter164, time differene: 0.0027840137481689453
iter165, time differene: 0.0005900859832763672
iter166, time differene: 0.0032689571380615234
iter167, time differene: 0.0030274391174316406
iter168, time differene: 0.024333953857421875
iter169, time differene: 0.0005795955657958984
iter170, time differene: 0.0003662109375
iter171, time differene: 0.00045180320739746094
iter172, time differene: 0.0004532337188720703
iter173, time differene: 0.0003504753112792969
iter174, time differene: 0.010035991668701172
iter175, time differene: 0.0005660057067871094
iter176, time differene: 0.000667572021484375
iter177, time differene: 0.0005478858947753906
iter178, time differene: 0.03437185287475586
iter179, time differene: 0.0005357265472412109
iter180, time differene: 0.0004687309265136719
iter181, time differene: 0.0003600120544433594
iter182, time differene: 0.0003120899200439453
iter183, time differene: 0.00046181678771972656
iter184, time differene: 0.0003211498260498047
iter185, time differene: 0.00046372413635253906
iter186, time differene: 0.00043773651123046875
iter187, time differene: 0.00038170814514160156
iter188, time differene: 0.03864765167236328
iter189, time differene: 0.0005955696105957031
iter190, time differene: 0.0004661083221435547
iter191, time differene: 0.0003750324249267578
iter192, time differene: 0.0004999637603759766
iter193, time differene: 0.0004062652587890625
iter194, time differene: 0.0004591941833496094
iter195, time differene: 0.0005431175231933594
iter196, time differene: 0.0005900859832763672
iter197, time differene: 0.0003974437713623047
iter198, time differene: 0.028685569763183594
iter199, time differene: 0.0004792213439941406
iter200, time differene: 0.0006811618804931641
iter201, time differene: 0.0006709098815917969
iter202, time differene: 0.0007367134094238281
iter203, time differene: 0.0005636215209960938
iter204, time differene: 0.0024967193603515625
iter205, time differene: 0.00043129920959472656
iter206, time differene: 0.00043582916259765625
iter207, time differene: 0.0004227161407470703
iter208, time differene: 0.03308844566345215
iter209, time differene: 0.0006811618804931641
iter210, time differene: 0.0005347728729248047
iter211, time differene: 0.0004215240478515625
iter212, time differene: 0.015305519104003906
iter213, time differene: 0.0005896091461181641
iter214, time differene: 0.0006010532379150391
iter215, time differene: 0.0006957054138183594
iter216, time differene: 0.0006330013275146484
iter217, time differene: 0.00039315223693847656
iter218, time differene: 0.007816553115844727
iter219, time differene: 0.01195073127746582
iter220, time differene: 0.000751495361328125
iter221, time differene: 0.0029921531677246094
iter222, time differene: 0.008693218231201172
iter223, time differene: 0.0005507469177246094
iter224, time differene: 0.00040793418884277344
iter225, time differene: 0.0005109310150146484
iter226, time differene: 0.0006074905395507812
iter227, time differene: 0.0006225109100341797
iter228, time differene: 0.01444244384765625
iter229, time differene: 0.00048065185546875
iter230, time differene: 0.00034546852111816406
iter231, time differene: 0.00040984153747558594
iter232, time differene: 0.02802300453186035
iter233, time differene: 0.0006079673767089844
iter234, time differene: 0.0005400180816650391
iter235, time differene: 0.0006015300750732422
iter236, time differene: 0.0004646778106689453
iter237, time differene: 0.0003981590270996094
iter238, time differene: 0.0072612762451171875
iter239, time differene: 0.003437519073486328
iter240, time differene: 0.0004665851593017578
iter241, time differene: 0.02349114418029785
iter242, time differene: 0.006670236587524414
iter243, time differene: 0.0005457401275634766
iter244, time differene: 0.000568389892578125
iter245, time differene: 0.0003924369812011719
iter246, time differene: 0.00037932395935058594
iter247, time differene: 0.0004456043243408203
iter248, time differene: 0.008396387100219727
iter249, time differene: 0.0007138252258300781
iter250, time differene: 0.0006341934204101562
iter251, time differene: 0.0029108524322509766
iter252, time differene: 0.02110004425048828
iter253, time differene: 0.0006501674652099609
iter254, time differene: 0.0007348060607910156
iter255, time differene: 0.0005960464477539062
iter256, time differene: 0.000640869140625
iter257, time differene: 0.0023093223571777344
iter258, time differene: 0.013542652130126953
iter259, time differene: 0.0005247592926025391
iter260, time differene: 0.0005133152008056641
iter261, time differene: 0.01964855194091797
iter262, time differene: 0.0007700920104980469
iter263, time differene: 0.000396728515625
iter264, time differene: 0.005662202835083008
iter265, time differene: 0.0007138252258300781
iter266, time differene: 0.0006260871887207031
iter267, time differene: 0.0006334781646728516
iter268, time differene: 0.013493061065673828
iter269, time differene: 0.0005745887756347656
iter270, time differene: 0.0029900074005126953
iter271, time differene: 0.00047278404235839844
iter272, time differene: 0.015674591064453125
iter273, time differene: 0.0005068778991699219
iter274, time differene: 0.0005447864532470703
iter275, time differene: 0.0006585121154785156
iter276, time differene: 0.000652313232421875
iter277, time differene: 0.0022134780883789062
iter278, time differene: 0.00845026969909668
iter279, time differene: 0.003497600555419922
iter280, time differene: 0.0005743503570556641
iter281, time differene: 0.01853632926940918
iter282, time differene: 0.0004851818084716797
iter283, time differene: 0.00039696693420410156
iter284, time differene: 0.0003056526184082031
iter285, time differene: 0.0003750324249267578
iter286, time differene: 0.011091470718383789
iter287, time differene: 0.00047397613525390625
iter288, time differene: 0.009221076965332031
iter289, time differene: 0.0005769729614257812
iter290, time differene: 0.022867202758789062
iter291, time differene: 0.01138615608215332
iter292, time differene: 0.0004897117614746094
iter293, time differene: 0.0004706382751464844
iter294, time differene: 0.0004355907440185547
iter295, time differene: 0.0006327629089355469
iter296, time differene: 0.0005543231964111328
iter297, time differene: 0.0005595684051513672
iter298, time differene: 0.0022711753845214844
iter299, time differene: 0.00040721893310546875
iter300, time differene: 0.007704973220825195
iter301, time differene: 0.01852726936340332
iter302, time differene: 0.0006892681121826172
iter303, time differene: 0.0006587505340576172
iter304, time differene: 0.0005137920379638672
iter305, time differene: 0.0007343292236328125
